transacao_id,cliente_id,conta_id,data,descricao,categoria,subcategoria,valor,tipo,forma_pagamento,parcelado,parcela_atual,total_parcelas,recorrente,essencial,origem_dado
TRX-00001,CLI-0001,CONTA-0001,2026-01-05,Salário,renda,salario,5000.0,entrada,transferencia,false,,,true,true,sintetico
TRX-00002,CLI-0001,CONTA-0001,2026-01-06,Aluguel,moradia,aluguel,1200.0,saida,pix,false,1,,true,true,sintetico
TRX-00003,CLI-0001,CONTA-0001,2026-01-08,Internet,moradia,internet,109.9,saida,debito_automatico,false,1,,true,true,sintetico
TRX-00004,CLI-0001,CARTAO-0001,2026-01-10,Academia,saude,academia,99.9,saida,credito,false,1,,true,false,sintetico
TRX-00005,CLI-0001,CARTAO-0001,2026-01-12,Streaming,lazer,assinatura,55.9,saida,credito,false,1,,true,false,sintetico
TRX-00006,CLI-0001,CARTAO-0001,2026-01-15,Parcela notebook,compras,eletronicos,300.0,saida,credito,true,1,6,true,false,sintetico
TRX-00007,CLI-0001,CONTA-0001,2026-01-18,Conta de luz,moradia,energia,194.76,saida,debito_automatico,false,1,,true,true,sintetico
TRX-00008,CLI-0001,CARTAO-0001,2026-01-07,Supermercado,alimentacao,mercado,183.5,saida,credito,false,,,false,true,sintetico
TRX-00009,CLI-0001,CARTAO-0001,2026-01-14,Supermercado,alimentacao,mercado,218.5,saida,credito,false,,,false,true,sintetico
TRX-00010,CLI-0001,CARTAO-0001,2026-01-21,Supermercado,alimentacao,mercado,211.25,saida,credito,false,,,false,true,sintetico
TRX-00011,CLI-0001,CARTAO-0001,2026-01-22,Restaurante,alimentacao,restaurante,146.28,saida,credito,false,,,false,false,sintetico
TRX-00012,CLI-0001,CONTA-0001,2026-01-24,Combustível,transporte,combustivel,294.44,saida,debito,false,,,false,true,sintetico
TRX-00013,CLI-0001,CONTA-0001,2026-01-27,Aporte reserva,investimento,reserva_emergencia,500.0,saida,transferencia,false,,,true,true,sintetico
TRX-00014,CLI-0001,CONTA-0001,2026-02-05,Salário,renda,salario,5000.0,entrada,transferencia,false,,,true,true,sintetico
TRX-00015,CLI-0001,CONTA-0001,2026-02-20,Freelance,renda,renda_extra,450.0,entrada,pix,false,,,false,false,sintetico
TRX-00016,CLI-0001,CONTA-0001,2026-02-06,Aluguel,moradia,aluguel,1200.0,saida,pix,false,2,,true,true,sintetico
TRX-00017,CLI-0001,CONTA-0001,2026-02-08,Internet,moradia,internet,109.9,saida,debito_automatico,false,2,,true,true,sintetico
TRX-00018,CLI-0001,CARTAO-0001,2026-02-10,Academia,saude,academia,99.9,saida,credito,false,2,,true,false,sintetico
TRX-00019,CLI-0001,CARTAO-0001,2026-02-12,Streaming,lazer,assinatura,55.9,saida,credito,false,2,,true,false,sintetico
TRX-00020,CLI-0001,CARTAO-0001,2026-02-15,Parcela notebook,compras,eletronicos,300.0,saida,credito,true,2,6,true,false,sintetico
TRX-00021,CLI-0001,CONTA-0001,2026-02-18,Conta de luz,moradia,energia,212.45,saida,debito_automatico,false,2,,true,true,sintetico
TRX-00022,CLI-0001,CARTAO-0001,2026-02-07,Supermercado,alimentacao,mercado,192.17,saida,credito,false,,,false,true,sintetico
TRX-00023,CLI-0001,CARTAO-0001,2026-02-14,Supermercado,alimentacao,mercado,239.07,saida,credito,false,,,false,true,sintetico
TRX-00024,CLI-0001,CARTAO-0001,2026-02-21,Supermercado,alimentacao,mercado,184.17,saida,credito,false,,,false,true,sintetico
TRX-00025,CLI-0001,CARTAO-0001,2026-02-22,Restaurante,alimentacao,restaurante,99.68,saida,credito,false,,,false,false,sintetico
TRX-00026,CLI-0001,CONTA-0001,2026-02-24,Combustível,transporte,combustivel,275.59,saida,debito,false,,,false,true,sintetico
TRX-00027,CLI-0001,CONTA-0001,2026-02-27,Aporte reserva,investimento,reserva_emergencia,500.0,saida,transferencia,false,,,true,true,sintetico
TRX-00028,CLI-0001,CONTA-0001,2026-03-05,Salário,renda,salario,5000.0,entrada,transferencia,false,,,true,true,sintetico
TRX-00029,CLI-0001,CONTA-0001,2026-03-06,Aluguel,moradia,aluguel,1200.0,saida,pix,false,3,,true,true,sintetico
TRX-00030,CLI-0001,CONTA-0001,2026-03-08,Internet,moradia,internet,109.9,saida,debito_automatico,false,3,,true,true,sintetico
TRX-00031,CLI-0001,CARTAO-0001,2026-03-10,Academia,saude,academia,99.9,saida,credito,false,3,,true,false,sintetico
TRX-00032,CLI-0001,CARTAO-0001,2026-03-12,Streaming,lazer,assinatura,55.9,saida,credito,false,3,,true,false,sintetico
TRX-00033,CLI-0001,CARTAO-0001,2026-03-15,Parcela notebook,compras,eletronicos,300.0,saida,credito,true,3,6,true,false,sintetico
